,Rk,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rk,1.0,-0.2886214970583861,-0.7227085488433358,-0.3828724566026301,-0.4322161763529949,-0.5525682560838941,-0.4926573590404577,-0.4469211542115578,-0.014190534563008875,0.19115677138317816,-0.5311630990552435,0.024531487748838125,0.07551962490917022,-0.10071720688753616,0.020744456009623144,-0.4963551095997807,-0.3472528824662248,-0.5416965611818103,0.2479233576776098,-0.08989170772514611,0.060592216137075446,0.082707965000696,-0.9862208820982689
MP,-0.2886214970583861,1.0,0.0976377311105117,0.04074535890364374,0.07346925166540459,0.24863054473356444,0.2516558770988837,0.1318262572558437,-0.1394648194370893,-0.19055358622390386,0.2133252300480076,0.08595413855269798,0.04520070769218378,0.11004305301441464,-0.12004995502182866,0.2679690404198805,0.11722723197557725,-0.12222832698089588,-0.23321105886335347,-0.325235491081387,-0.39580217334324364,-0.20897548496112384,0.28005160156819753
FG,-0.7227085488433358,0.0976377311105117,1.0,0.6350785741795018,0.4808498665086955,0.044039921635651944,-0.0009642433411795423,0.13343968785408172,0.5953637411880461,0.37773095072470664,0.3365267385279953,-0.4141626488859873,-0.3649821747425539,-0.1527044037095438,0.20673211919125048,0.4561421574798437,0.46238267578239045,0.6361567102438193,0.039795701679701756,0.255542916332302,-0.027591720615978484,-0.22288921250778984,0.7647094005696433
FGA,-0.3828724566026301,0.04074535890364374,0.6350785741795018,1.0,-0.37119430851699264,-0.07399873676535408,0.06914293057700242,-0.4119244068035563,0.45510393928613463,0.5322382604741244,-0.347717070091616,-0.3548325784075533,-0.2396042080694158,-0.27071301419154215,0.7390365032767218,0.29102347512983445,0.6742669956493276,0.2653169273168003,0.1583191724780686,0.179398975084721,0.03429617332532469,0.04139399885463331,0.3850014211877154
FG%,-0.4322161763529949,0.07346925166540459,0.4808498665086955,-0.37119430851699264,1.0,0.13919533229094336,-0.07695998565599974,0.627334809572168,0.1971951658917407,-0.1520123508717576,0.8007001617607306,-0.1019003034101234,-0.1735604787749073,0.1228618105642318,-0.5899861435369531,0.2251024603654096,-0.20415789283876165,0.46518028519761,-0.12316110641874584,0.10497716806455672,-0.07356067902253435,-0.3206580022520881,0.48074978891869197
3P,-0.5525682560838941,0.24863054473356444,0.044039921635651944,-0.07399873676535408,0.13919533229094336,1.0,0.9549105783772188,0.6460908599041698,-0.7760569943797062,-0.8535508914613772,0.520656855802941,-0.2116382490519221,-0.2593574422587858,0.07751129140503385,-0.28980128927575766,0.2463850606567476,-0.0025794123110622455,0.399256391514633,-0.43378058094053407,-0.07028469387724919,0.05596255424946982,0.12831423423360983,0.5351012973286484
3PA,-0.4926573590404577,0.2516558770988837,-0.0009642433411795423,0.06914293057700242,-0.07695998565599974,0.9549105783772188,1.0,0.3922368073584951,-0.7698748746795385,-0.8077329014340301,0.4215732848478275,-0.19707342567582412,-0.18785454576860242,-0.026765146244824872,-0.11727206834424157,0.2618133023056444,0.11684491821175076,0.28409848735376086,-0.4345209334521643,-0.098145917936681,0.07103154689574805,0.12040277834730755,0.47434294234939756
3P%,-0.4469211542115578,0.1318262572558437,0.13343968785408172,-0.4119244068035563,0.627334809572168,0.6460908599041698,0.3922368073584951,1.0,-0.4317624007205666,-0.5746042466057,0.5301615421081347,-0.14359563309620615,-0.3092524748374575,0.29612766077742686,-0.5839653916035189,0.09590287409502818,-0.29644093633127133,0.49424787853114455,-0.23822672885144827,0.04197653893329437,-0.028870239744853636,0.0784666100260173,0.4379342290085518
2P,-0.014190534563008875,-0.1394648194370893,0.5953637411880461,0.45510393928613463,0.1971951658917407,-0.7760569943797062,-0.7698748746795385,-0.4317624007205666,1.0,0.9228343366483496,-0.20183379860075457,-0.08816282500235195,-0.02288444403826305,-0.15013952314618118,0.3581504985142781,0.09248254166800116,0.2924094710272334,0.08032828689684102,0.36959587575143515,0.2119471490191318,-0.059124300514592915,-0.2491021815797185,0.053582445928830436
2PA,0.19115677138317816,-0.19055358622390386,0.37773095072470664,0.5322382604741244,-0.1520123508717576,-0.8535508914613772,-0.8077329014340301,-0.5746042466057,0.9228343366483496,1.0,-0.5618949091268741,-0.04468832063558464,0.015152487404680842,-0.13690154266693116,0.5336980513646664,-0.049836659793477046,0.29796860420279475,-0.08074536595539536,0.46460523667713344,0.1910399455788502,-0.040670550662737295,-0.07911651454686863,-0.17418195491139155
2P%,-0.5311630990552435,0.2133252300480076,0.3365267385279953,-0.347717070091616,0.8007001617607306,0.520656855802941,0.4215732848478275,0.5301615421081347,-0.20183379860075457,-0.5618949091268741,1.0,-0.09443162079759793,-0.09907699101652213,0.00876318427158631,-0.5904957293558624,0.3179391805712977,-0.1363025910073929,0.3893020994646946,-0.3689652995221955,-0.03537975209049052,-0.056401087054257754,-0.3161696082893132,0.5764712834147288
FT,0.024531487748838125,0.08595413855269798,-0.4141626488859873,-0.3548325784075533,-0.1019003034101234,-0.2116382490519221,-0.19707342567582412,-0.14359563309620615,-0.08816282500235195,-0.04468832063558464,-0.09443162079759793,1.0,0.8770264894418689,0.3620673409739456,-0.11639826852175718,-0.2342200153299497,-0.24364779701561606,-0.5725880920522093,-0.0019196787155840093,-0.24479183638938487,-0.1785706922488221,0.0912039107967933,-0.055118880799634534
FTA,0.07551962490917022,0.04520070769218378,-0.3649821747425539,-0.2396042080694158,-0.1735604787749073,-0.2593574422587858,-0.18785454576860242,-0.3092524748374575,-0.02288444403826305,0.015152487404680842,-0.09907699101652213,0.8770264894418689,1.0,-0.12838492367821766,0.05439426485935699,-0.11590460705361326,-0.050932904280629486,-0.5993619681264187,-0.07627819265761242,-0.200830306451883,-0.05069192818580539,0.12561386679258557,-0.09375681455012655
FT%,-0.10071720688753616,0.11004305301441464,-0.1527044037095438,-0.27071301419154215,0.1228618105642318,0.07751129140503385,-0.026765146244824872,0.29612766077742686,-0.15013952314618118,-0.13690154266693116,0.00876318427158631,0.3620673409739456,-0.12838492367821766,1.0,-0.34788688477617913,-0.23286786248927288,-0.3869665356324888,-0.02231931335601557,0.12679221447417494,-0.11986509134879367,-0.2651118101627766,-0.05947410842007564,0.06964896549973312
ORB,0.020744456009623144,-0.12004995502182866,0.20673211919125048,0.7390365032767218,-0.5899861435369531,-0.28980128927575766,-0.11727206834424157,-0.5839653916035189,0.3581504985142781,0.5336980513646664,-0.5904957293558624,-0.11639826852175718,0.05439426485935699,-0.34788688477617913,1.0,0.098190626985739,0.6989364887754028,-0.0810768724987859,0.1608839536290422,0.048853015081400476,0.1676784108294028,0.12216241013330538,-0.030021262391115335
DRB,-0.4963551095997807,0.2679690404198805,0.4561421574798437,0.29102347512983445,0.2251024603654096,0.2463850606567476,0.2618133023056444,0.09590287409502818,0.09248254166800116,-0.049836659793477046,0.3179391805712977,-0.2342200153299497,-0.11590460705361326,-0.23286786248927288,0.098190626985739,1.0,0.7801764676107381,0.25639278853101016,-0.4095965686420392,0.2109621042395309,0.21026475569752773,-0.44170686921835617,0.4728054429647121
TRB,-0.3472528824662248,0.11722723197557725,0.46238267578239045,0.6742669956493276,-0.20415789283876165,-0.0025794123110622455,0.11684491821175076,-0.29644093633127133,0.2924094710272334,0.29796860420279475,-0.1363025910073929,-0.24364779701561606,-0.050932904280629486,-0.3869665356324888,0.6989364887754028,0.7801764676107381,1.0,0.13884981046146658,-0.19385961222532483,0.18192843968972494,0.2542331732693753,-0.24417639119029763,0.325676222087068
AST,-0.5416965611818103,-0.12222832698089588,0.6361567102438193,0.2653169273168003,0.46518028519761,0.399256391514633,0.28409848735376086,0.49424787853114455,0.08032828689684102,-0.08074536595539536,0.3893020994646946,-0.5725880920522093,-0.5993619681264187,-0.02231931335601557,-0.0810768724987859,0.25639278853101016,0.13884981046146658,1.0,-0.015867017481582733,0.16515378661555277,0.2950965259651341,-0.01457253635504283,0.5656964887527579
STL,0.2479233576776098,-0.23321105886335347,0.039795701679701756,0.1583191724780686,-0.12316110641874584,-0.43378058094053407,-0.4345209334521643,-0.23822672885144827,0.36959587575143515,0.46460523667713344,-0.3689652995221955,-0.0019196787155840093,-0.07627819265761242,0.12679221447417494,0.1608839536290422,-0.4095965686420392,-0.19385961222532483,-0.015867017481582733,1.0,0.10500152310155166,-0.19450489061003,0.1889413040647924,-0.21864439780304692
BLK,-0.08989170772514611,-0.325235491081387,0.255542916332302,0.179398975084721,0.10497716806455672,-0.07028469387724919,-0.098145917936681,0.04197653893329437,0.2119471490191318,0.1910399455788502,-0.03537975209049052,-0.24479183638938487,-0.200830306451883,-0.11986509134879367,0.048853015081400476,0.2109621042395309,0.18192843968972494,0.16515378661555277,0.10500152310155166,1.0,-0.0007998479546157165,0.10752436515562973,0.0847418151239402
TOV,0.060592216137075446,-0.39580217334324364,-0.027591720615978484,0.03429617332532469,-0.07356067902253435,0.05596255424946982,0.07103154689574805,-0.028870239744853636,-0.059124300514592915,-0.040670550662737295,-0.056401087054257754,-0.1785706922488221,-0.05069192818580539,-0.2651118101627766,0.1676784108294028,0.21026475569752773,0.2542331732693753,0.2950965259651341,-0.19450489061003,-0.0007998479546157165,1.0,0.27170760436092795,-0.07211611984228262
PF,0.082707965000696,-0.20897548496112384,-0.22288921250778984,0.04139399885463331,-0.3206580022520881,0.12831423423360983,0.12040277834730755,0.0784666100260173,-0.2491021815797185,-0.07911651454686863,-0.3161696082893132,0.0912039107967933,0.12561386679258557,-0.05947410842007564,0.12216241013330538,-0.44170686921835617,-0.24417639119029763,-0.01457253635504283,0.1889413040647924,0.10752436515562973,0.27170760436092795,1.0,-0.09482173540618043
PTS,-0.9862208820982689,0.28005160156819753,0.7647094005696433,0.3850014211877154,0.48074978891869197,0.5351012973286484,0.47434294234939756,0.4379342290085518,0.053582445928830436,-0.17418195491139155,0.5764712834147288,-0.055118880799634534,-0.09375681455012655,0.06964896549973312,-0.030021262391115335,0.4728054429647121,0.325676222087068,0.5656964887527579,-0.21864439780304692,0.0847418151239402,-0.07211611984228262,-0.09482173540618043,1.0
